CCCD_Customer, First_Name, Last_Name, SDT, Email, GioiTinh, NgaySinh, Address
100011, Tsao, Danny, 11820266, TsaoDanny@gmail.com, Nam, 9/24/2000 12:00:00 AM, 27 Wu Tzu St Tamshui 251  Taiwan
100012, Lei, Colleen, 11663635, LeiColleen@gmail.com, Nu, 9/25/2000 12:00:00 AM, 88 6th Avenue Teda 300457 TIANJIN  China
100013, Roth, Nancy, 11842511, RothNancy@gmail.com, Nam, 9/26/2000 12:00:00 AM, Hoefenstrasse 31 Muehlethal  Switzerland
100014, Meneses Contreras, Karl-Oscar, 11585702, MenesesKarlOscar@gmail.com, Nu, 9/27/2000 12:00:00 AM, Poniente 134 Ste. 740 02300 México DIF Mexico
100015, Nunez, Helmut, 11620651, NunezHelmut@gmail.com, Nam, 9/28/2000 12:00:00 AM, Andador Pinos 345 45235 Zapopan JAL Mexico
100016, Fitzpatrick, Dmitry, 11871014, FitzpatrickDmitry@gmail.com, Nu, 9/1/2000 12:00:00 AM, 22 Hemingford Pl Whitby ON Canada
100017, Andreu, Leya, 11880263, AndreuLeya@gmail.com, Nam, 9/9/1998 12:00:00 AM, Nevada de Colima 104 20280 Aguascalientes  Mexico
100018, Ramsey, Stephen, 11893645, RamseyStephen@gmail.com, Nam, 9/9/1998 12:00:00 AM, Z-Block No 59  Chennai TN - 600040  India
100019, Xiao-Hui, Michael, 11809723, XiaHuiMichael@gmail.com, Nu, 9/1/1998 12:00:00 AM, Unit B-E F19 XinMei Union Square 200120 Shanghai  China
100020, He, Jan, 11677573, HeJan@gmail.com, Nam, 9/9/1998 12:00:00 AM, 5055 Heather Leigh Avenue Mississauga ON Canada
100021, Wisner, Ray, 11719458, WisnerRay@gmail.com, Nu, 9/1/1998 12:00:00 AM, Chemin 15F Vernier  Switzerland
100022, Denturck, Bill, 11857457, DenturckBill@gmail.com, Nam, 9/1/1998 12:00:00 AM, Septestraat 27 2640 MORTSEL  Belgium
100023, Arnout, Marco, 11873306, ArnoutMarco@gmail.com, Nu, 9/9/1998 12:00:00 AM, P.O. Box 4002 Basel  Switzerland
100024, Kopp, Victor, 11862577, KoppVictor@gmail.com, Nu, 9/23/1998 12:00:00 AM, Pez Austral 3625 45070 Guadalajara JAL Mexico
100025, Villarruel Enriquez, Bep, 11629423, VillarruelBep@gmail.com, Nam, 9/28/1996 12:00:00 AM, 303 - 615 North Road Coquitlam BC Canada
100026, Marchant, René, 11794424, MarchantRene@gmail.com, Nam, 9/28/1996 12:00:00 AM, Emilio Arrieta 23 Pamplona  Spain
100027, de Alava Casado, Christophe, 11860677, deAlavaCasadoChristophe@gmail.com, Nam, 9/9/1996 12:00:00 AM, 383 Elgin St Brantford ON Canada
100028, Boaz, Isobel, 11572376, BoazIsobel@gmail.com, Nam, 9/23/1996 12:00:00 AM, 8 Temasek Boulevard #7 Singapore  Singapore
100029, Koshy, Rene, 11824050, KoshyRene@gmail.com, Nam, 9/1/1996 12:00:00 AM, P O Box 112-066 Auckland  New Zealand
100030, Lee, Chie Shin, 11759559, LeeChieShin@gmail.com, Nu, 9/9/1996 12:00:00 AM, 5 rue de la Division Leclerc 78350 LES LOGES EN JOSAS  France
100031, Sanseau, Jose, 11811561, SanseauJose@gmail.com, Nam, 9/9/1996 12:00:00 AM, 775 Steeles Ave West Apt. 1111 Toronto ON Canada
100032, Ciorma, Frans, 11570183, CiormaFrans@gmail.com, Nu, 9/23/1996 12:00:00 AM, Rue des Saars 87 Neuchâtel  Switzerland
100033, Peron, Jasja, 11872554, PeronJasja@gmail.com, Nam, 9/1/1992 12:00:00 AM, 45 Kensington Rd Essex  United Kingdom
100034, Worrell, Travis, 11611010, WorrellTravis@gmail.com, Nam, 9/28/1992 12:00:00 AM, 13459 Cedar Way Maple Ridge BC Canada
100035, Bianco, Richard, 11707845, BiancoRichard@gmail.com, Nam, 9/23/1992 12:00:00 AM, Rossinistraat 18 4561 VP Hulst  Netherlands
100036, McKnight, Gangesh, 11814905, McKnightGangesh@gmail.com, Nu, 9/23/1992 12:00:00 AM, 1370 Don Mills Rd Toronto ON Canada
100037, Bricks, Shari, 11849781, BricksShari@gmail.com, Nu, 9/28/1992 12:00:00 AM, 1502-1901 Hosumaeul Humansia APT Dongbaek-dong Kiheung-gu Yongin-shi  Korea, Republic of
100038, Kim, Nam-Su, 11875178, KimNamSu@gmail.com, Nam, 9/28/1980 12:00:00 AM, 105 Vars Fantasy Bangalore Karnataka India
100039, Venghatachari, Ramachandharan, 11569278, VenghatachariRamachandharan@gmail.com, Nam, 9/28/1980 12:00:00 AM, A-6-08 Sri Teratai Apartment 47100 Bandar Puchong Jaya Selangor Malaysia
100040, Lim, SooChing, 11561051, LimSooChing@gmail.com, Nam, 9/28/1980 12:00:00 AM, Softwareweg 4 3821 BC Amersfoort  Netherlands
100041, Hagen, Rien, 11859915, HagenRien@gmail.com, Nu, 9/23/1980 12:00:00 AM, Emilio Arrieta 23 Pamplona  Spain
